                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.39773,                0.44894,                 1.0637,                0.89104,                0.93988,                0.90654,                0.79658,                0.66729,                0.54966,                 1.5696,             0.00049529,             0.00049529,             0.00049529
                     36,                0.38699,                0.42473,                 1.0519,                0.86931,                 0.9382,                0.88066,                0.76759,                0.66567,                0.58722,                 1.5102,               0.000467,               0.000467,               0.000467
                     37,                0.37389,                0.43852,                 1.0448,                0.80587,                0.94074,                0.89016,                0.77421,                0.72528,                0.60815,                 1.7307,              0.0004387,              0.0004387,              0.0004387
                     38,                0.38172,                0.42046,                 1.0501,                0.85335,                0.82891,                0.88222,                0.76991,                0.71896,                0.65298,                 1.6273,             0.00041041,             0.00041041,             0.00041041
                     39,                0.37284,                 0.4069,                 1.0486,                0.82105,                0.92196,                0.87699,                0.76556,                0.70228,                0.57398,                 1.6009,             0.00038211,             0.00038211,             0.00038211
                     40,                 0.3636,                0.40855,                 1.0401,                0.84867,                0.80216,                0.89534,                0.78355,                0.60764,                0.64652,                 1.4146,             0.00035382,             0.00035382,             0.00035382
                     41,                0.26226,                0.31803,                  1.009,                 0.8006,                0.94074,                0.91385,                  0.785,                0.65459,                0.55565,                 1.4827,             0.00032553,             0.00032553,             0.00032553
                     42,                 0.2477,                0.30722,                 1.0021,                0.76887,                0.91852,                0.89029,                0.79238,                0.60921,                0.61657,                 1.3993,             0.00029723,             0.00029723,             0.00029723
                     43,                0.23786,                 0.2803,                 1.0003,                 0.8119,                0.94074,                0.88323,                0.77952,                0.64775,                0.57695,                 1.4977,             0.00026894,             0.00026894,             0.00026894
                     44,                0.23471,                0.26568,                 1.0043,                 0.7794,                0.92336,                0.88006,                0.76056,                0.69381,                0.64267,                 1.6336,             0.00024064,             0.00024064,             0.00024064
                     45,                0.22403,                0.24562,                0.99006,                0.83627,                 0.8236,                0.88905,                0.76801,                0.68497,                0.64071,                 1.6105,             0.00021235,             0.00021235,             0.00021235
                     46,                0.22649,                0.25828,                0.97945,                0.82343,                0.93089,                0.90514,                0.79512,                0.62227,                0.58464,                 1.4497,             0.00018406,             0.00018406,             0.00018406
                     47,                0.21728,                0.24213,                0.98359,                0.82487,                0.94074,                0.89719,                0.78119,                0.64476,                0.56603,                 1.5213,             0.00015576,             0.00015576,             0.00015576
                     48,                0.20919,                0.23139,                0.98251,                0.84388,                0.94074,                0.89762,                0.78356,                0.62388,                0.55752,                  1.524,             0.00012747,             0.00012747,             0.00012747
                     49,                0.20733,                0.22708,                0.97827,                0.73518,                0.94074,                0.87913,                0.77299,                0.61492,                0.65626,                 1.4697,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.20696,                 0.2188,                0.97679,                0.76455,                0.94074,                0.88188,                0.76445,                0.65695,                0.65111,                 1.5305,             7.0878e-05,             7.0878e-05,             7.0878e-05
