                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59983,                0.56261,                 1.0572,                  0.443,                    0.5,                0.43433,                0.27743,                 1.2922,                 2.3272,                 1.4674,             0.00049529,             0.00049529,             0.00049529
                     36,                0.59786,                0.54115,                 1.0538,                0.44229,                0.40559,                 0.4476,                0.30151,                 1.2519,                 2.7043,                 1.3986,               0.000467,               0.000467,               0.000467
                     37,                0.58967,                0.53692,                 1.0486,                0.41681,                 0.3876,                0.41173,                0.24262,                 1.4685,                 2.6446,                 1.5878,              0.0004387,              0.0004387,              0.0004387
                     38,                0.57721,                0.52393,                 1.0427,                0.53154,                0.62246,                0.60293,                0.39897,                 1.1704,                 1.8911,                 1.3658,             0.00041041,             0.00041041,             0.00041041
                     39,                0.57581,                0.51766,                 1.0494,                0.59498,                0.63058,                 0.6271,                0.39478,                 1.1261,                 1.8175,                 1.3499,             0.00038211,             0.00038211,             0.00038211
                     40,                0.55929,                0.49559,                 1.0329,                0.69523,                0.69605,                0.75755,                0.50329,                 1.1165,                 1.4259,                 1.3233,             0.00035382,             0.00035382,             0.00035382
                     41,                0.46195,                0.38417,                0.96853,                0.50599,                0.64918,                0.59853,                0.42937,                 1.0746,                 1.6413,                 1.3017,             0.00032553,             0.00032553,             0.00032553
                     42,                0.43455,                0.35889,                0.95452,                0.53213,                0.46667,                0.54626,                0.39363,                 1.1025,                 2.2955,                 1.3149,             0.00029723,             0.00029723,             0.00029723
                     43,                0.42038,                0.33796,                 0.9364,                0.60034,                0.51032,                0.57795,                0.40416,                 1.1578,                 2.3624,                 1.3928,             0.00026894,             0.00026894,             0.00026894
                     44,                0.41229,                0.33291,                0.93157,                0.56519,                0.45923,                0.55276,                0.38734,                  1.248,                 2.4362,                 1.4425,             0.00024064,             0.00024064,             0.00024064
                     45,                0.40052,                 0.3221,                0.92466,                0.52449,                0.50714,                0.58339,                0.41337,                 1.1516,                 2.1795,                 1.3616,             0.00021235,             0.00021235,             0.00021235
                     46,                0.39646,                0.31841,                 0.9348,                0.55875,                 0.5373,                0.57386,                0.40948,                 1.1345,                 2.1096,                 1.3582,             0.00018406,             0.00018406,             0.00018406
                     47,                0.37656,                0.30133,                 0.9146,                0.49325,                0.43364,                0.52056,                0.35394,                 1.3077,                 2.5479,                 1.4801,             0.00015576,             0.00015576,             0.00015576
                     48,                0.36822,                0.29139,                  0.904,                0.60016,                0.53979,                0.60765,                0.42873,                 1.2058,                 2.1399,                 1.4279,             0.00012747,             0.00012747,             0.00012747
                     49,                0.35874,                0.28394,                0.89641,                0.53727,                0.54683,                0.52181,                0.36181,                 1.1837,                 2.0754,                 1.4291,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.35703,                 0.2873,                0.90254,                0.51619,                0.50238,                0.48609,                0.33921,                 1.2784,                 2.3161,                 1.4748,             7.0878e-05,             7.0878e-05,             7.0878e-05
